"The temperature is 29.8°„C, humidity is 59.1%, PM2.5 is 5.2 ¶Ãg/m3, PM10 is 17.9 ¶Ãg/m3, NO? is 18.9 ¶Ãg/m3, SO? is 9.2 ¶Ãg/m3, CO is 1.72 ppm, the proximity to industrial areas is 6.3 km, and the population density is 319 people/km2."
"The temperature is 32.5°„C, humidity is 51.2%, PM2.5 is 1.6 ¶Ãg/m3, PM10 is 10.5 ¶Ãg/m3, NO? is 21.6 ¶Ãg/m3, SO? is 19.3 ¶Ãg/m3, CO is 1.53 ppm, the proximity to industrial areas is 5.9 km, and the population density is 519 people/km2."
"The temperature is 20.0°„C, humidity is 53.3%, PM2.5 is 3.7 ¶Ãg/m3, PM10 is 12.9 ¶Ãg/m3, NO? is 26.1 ¶Ãg/m3, SO? is 6.6 ¶Ãg/m3, CO is 1.09 ppm, the proximity to industrial areas is 10.2 km, and the population density is 538 people/km2."
"The temperature is 28.6°„C, humidity is 53.7%, PM2.5 is 28.9 ¶Ãg/m3, PM10 is 34.0 ¶Ãg/m3, NO? is 23.2 ¶Ãg/m3, SO? is 4.5 ¶Ãg/m3, CO is 1.02 ppm, the proximity to industrial areas is 11.0 km, and the population density is 508 people/km2."
"The temperature is 22.3°„C, humidity is 80.5%, PM2.5 is 4.5 ¶Ãg/m3, PM10 is 12.0 ¶Ãg/m3, NO? is 17.2 ¶Ãg/m3, SO? is 6.3 ¶Ãg/m3, CO is 1.18 ppm, the proximity to industrial areas is 10.4 km, and the population density is 232 people/km2."
"The temperature is 32.0°„C, humidity is 78.9%, PM2.5 is 22.4 ¶Ãg/m3, PM10 is 29.9 ¶Ãg/m3, NO? is 27.5 ¶Ãg/m3, SO? is 11.8 ¶Ãg/m3, CO is 1.48 ppm, the proximity to industrial areas is 7.9 km, and the population density is 444 people/km2."
"The temperature is 22.9°„C, humidity is 75.4%, PM2.5 is 4.5 ¶Ãg/m3, PM10 is 10.4 ¶Ãg/m3, NO? is 18.4 ¶Ãg/m3, SO? is 3.7 ¶Ãg/m3, CO is 0.96 ppm, the proximity to industrial areas is 14.4 km, and the population density is 359 people/km2."
"The temperature is 37.6°„C, humidity is 81.2%, PM2.5 is 28.1 ¶Ãg/m3, PM10 is 56.6 ¶Ãg/m3, NO? is 46.7 ¶Ãg/m3, SO? is 13.7 ¶Ãg/m3, CO is 1.85 ppm, the proximity to industrial areas is 4.1 km, and the population density is 560 people/km2."
"The temperature is 34.7°„C, humidity is 59.3%, PM2.5 is 9.0 ¶Ãg/m3, PM10 is 15.7 ¶Ãg/m3, NO? is 28.5 ¶Ãg/m3, SO? is 7.1 ¶Ãg/m3, CO is 1.52 ppm, the proximity to industrial areas is 6.1 km, and the population density is 437 people/km2."
"The temperature is 37.8°„C, humidity is 97.2%, PM2.5 is 0.6 ¶Ãg/m3, PM10 is 24.6 ¶Ãg/m3, NO? is 37.1 ¶Ãg/m3, SO? is 11.7 ¶Ãg/m3, CO is 1.13 ppm, the proximity to industrial areas is 7.7 km, and the population density is 803 people/km2."
"The temperature is 27.6°„C, humidity is 44.1%, PM2.5 is 3.5 ¶Ãg/m3, PM10 is 14.4 ¶Ãg/m3, NO? is 30.7 ¶Ãg/m3, SO? is 9.4 ¶Ãg/m3, CO is 0.97 ppm, the proximity to industrial areas is 8.0 km, and the population density is 338 people/km2."
"The temperature is 27.6°„C, humidity is 77.5%, PM2.5 is 3.8 ¶Ãg/m3, PM10 is 10.9 ¶Ãg/m3, NO? is 9.1 ¶Ãg/m3, SO? is 1.7 ¶Ãg/m3, CO is 1.04 ppm, the proximity to industrial areas is 14.4 km, and the population density is 520 people/km2."
"The temperature is 25.6°„C, humidity is 58.3%, PM2.5 is 0.4 ¶Ãg/m3, PM10 is -0.2 ¶Ãg/m3, NO? is 25.3 ¶Ãg/m3, SO? is 4.5 ¶Ãg/m3, CO is 0.98 ppm, the proximity to industrial areas is 10.0 km, and the population density is 536 people/km2."
"The temperature is 24.6°„C, humidity is 48.4%, PM2.5 is 8.3 ¶Ãg/m3, PM10 is 15.4 ¶Ãg/m3, NO? is 23.3 ¶Ãg/m3, SO? is 4.6 ¶Ãg/m3, CO is 1.03 ppm, the proximity to industrial areas is 11.2 km, and the population density is 461 people/km2."
"The temperature is 26.2°„C, humidity is 49.9%, PM2.5 is 0.5 ¶Ãg/m3, PM10 is 2.0 ¶Ãg/m3, NO? is 22.9 ¶Ãg/m3, SO? is 2.3 ¶Ãg/m3, CO is 0.94 ppm, the proximity to industrial areas is 17.9 km, and the population density is 581 people/km2."
"The temperature is 22.6°„C, humidity is 62.1%, PM2.5 is 16.4 ¶Ãg/m3, PM10 is 21.3 ¶Ãg/m3, NO? is 17.6 ¶Ãg/m3, SO? is 4.8 ¶Ãg/m3, CO is 0.93 ppm, the proximity to industrial areas is 11.5 km, and the population density is 324 people/km2."
"The temperature is 30.0°„C, humidity is 69.2%, PM2.5 is 2.0 ¶Ãg/m3, PM10 is 3.9 ¶Ãg/m3, NO? is 15.3 ¶Ãg/m3, SO? is 5.2 ¶Ãg/m3, CO is 1.09 ppm, the proximity to industrial areas is 10.1 km, and the population density is 297 people/km2."
"The temperature is 37.6°„C, humidity is 72.2%, PM2.5 is 10.1 ¶Ãg/m3, PM10 is 16.6 ¶Ãg/m3, NO? is 32.2 ¶Ãg/m3, SO? is 6.3 ¶Ãg/m3, CO is 1.85 ppm, the proximity to industrial areas is 3.5 km, and the population density is 637 people/km2."
"The temperature is 29.6°„C, humidity is 65.6%, PM2.5 is 3.4 ¶Ãg/m3, PM10 is 9.3 ¶Ãg/m3, NO? is 20.6 ¶Ãg/m3, SO? is 2.9 ¶Ãg/m3, CO is 1.03 ppm, the proximity to industrial areas is 10.2 km, and the population density is 452 people/km2."
"The temperature is 52.5°„C, humidity is 83.9%, PM2.5 is 67.5 ¶Ãg/m3, PM10 is 91.2 ¶Ãg/m3, NO? is 31.6 ¶Ãg/m3, SO? is 34.6 ¶Ãg/m3, CO is 2.31 ppm, the proximity to industrial areas is 2.9 km, and the population density is 785 people/km2."
"The temperature is 44.7°„C, humidity is 97.9%, PM2.5 is 34.6 ¶Ãg/m3, PM10 is 57.3 ¶Ãg/m3, NO? is 28.1 ¶Ãg/m3, SO? is 22.6 ¶Ãg/m3, CO is 1.78 ppm, the proximity to industrial areas is 3.5 km, and the population density is 562 people/km2."
"The temperature is 23.3°„C, humidity is 45.2%, PM2.5 is 24.0 ¶Ãg/m3, PM10 is 29.0 ¶Ãg/m3, NO? is 26.6 ¶Ãg/m3, SO? is 5.3 ¶Ãg/m3, CO is 0.96 ppm, the proximity to industrial areas is 10.9 km, and the population density is 575 people/km2."
"The temperature is 35.4°„C, humidity is 100.2%, PM2.5 is 20.5 ¶Ãg/m3, PM10 is 33.2 ¶Ãg/m3, NO? is 34.4 ¶Ãg/m3, SO? is 11.7 ¶Ãg/m3, CO is 1.85 ppm, the proximity to industrial areas is 5.1 km, and the population density is 440 people/km2."
"The temperature is 29.7°„C, humidity is 85.8%, PM2.5 is 84.4 ¶Ãg/m3, PM10 is 94.4 ¶Ãg/m3, NO? is 26.7 ¶Ãg/m3, SO? is 19.8 ¶Ãg/m3, CO is 1.55 ppm, the proximity to industrial areas is 10.0 km, and the population density is 744 people/km2."
"The temperature is 21.8°„C, humidity is 79.6%, PM2.5 is 7.1 ¶Ãg/m3, PM10 is 16.8 ¶Ãg/m3, NO? is 14.5 ¶Ãg/m3, SO? is 6.0 ¶Ãg/m3, CO is 0.91 ppm, the proximity to industrial areas is 10.8 km, and the population density is 455 people/km2."
"The temperature is 27.7°„C, humidity is 86.1%, PM2.5 is 83.3 ¶Ãg/m3, PM10 is 93.5 ¶Ãg/m3, NO? is 25.3 ¶Ãg/m3, SO? is 6.8 ¶Ãg/m3, CO is 1.71 ppm, the proximity to industrial areas is 7.4 km, and the population density is 594 people/km2."
"The temperature is 27.5°„C, humidity is 78.9%, PM2.5 is 30.2 ¶Ãg/m3, PM10 is 34.1 ¶Ãg/m3, NO? is 15.3 ¶Ãg/m3, SO? is 3.0 ¶Ãg/m3, CO is 0.98 ppm, the proximity to industrial areas is 11.1 km, and the population density is 472 people/km2."
"The temperature is 28.0°„C, humidity is 72.2%, PM2.5 is 18.5 ¶Ãg/m3, PM10 is 25.0 ¶Ãg/m3, NO? is 24.9 ¶Ãg/m3, SO? is 6.1 ¶Ãg/m3, CO is 1.32 ppm, the proximity to industrial areas is 13.2 km, and the population density is 480 people/km2."
"The temperature is 22.2°„C, humidity is 50.0%, PM2.5 is 2.3 ¶Ãg/m3, PM10 is 8.4 ¶Ãg/m3, NO? is 23.5 ¶Ãg/m3, SO? is 3.7 ¶Ãg/m3, CO is 0.96 ppm, the proximity to industrial areas is 10.2 km, and the population density is 547 people/km2."
"The temperature is 33.3°„C, humidity is 70.1%, PM2.5 is 55.1 ¶Ãg/m3, PM10 is 72.7 ¶Ãg/m3, NO? is 40.5 ¶Ãg/m3, SO? is 30.7 ¶Ãg/m3, CO is 2.12 ppm, the proximity to industrial areas is 4.9 km, and the population density is 612 people/km2."
"The temperature is 37.5°„C, humidity is 83.7%, PM2.5 is 3.1 ¶Ãg/m3, PM10 is 2.2 ¶Ãg/m3, NO? is 39.5 ¶Ãg/m3, SO? is 29.2 ¶Ãg/m3, CO is 2.61 ppm, the proximity to industrial areas is 2.5 km, and the population density is 898 people/km2."
"The temperature is 30.9°„C, humidity is 94.4%, PM2.5 is 48.3 ¶Ãg/m3, PM10 is 67.1 ¶Ãg/m3, NO? is 31.4 ¶Ãg/m3, SO? is 23.3 ¶Ãg/m3, CO is 1.75 ppm, the proximity to industrial areas is 4.3 km, and the population density is 779 people/km2."
"The temperature is 39.3°„C, humidity is 78.9%, PM2.5 is 68.9 ¶Ãg/m3, PM10 is 85.2 ¶Ãg/m3, NO? is 43.7 ¶Ãg/m3, SO? is 13.0 ¶Ãg/m3, CO is 1.7 ppm, the proximity to industrial areas is 8.5 km, and the population density is 570 people/km2."
"The temperature is 24.7°„C, humidity is 64.9%, PM2.5 is 17.3 ¶Ãg/m3, PM10 is 37.0 ¶Ãg/m3, NO? is 27.2 ¶Ãg/m3, SO? is 14.9 ¶Ãg/m3, CO is 1.48 ppm, the proximity to industrial areas is 5.5 km, and the population density is 453 people/km2."
"The temperature is 27.8°„C, humidity is 62.8%, PM2.5 is 8.7 ¶Ãg/m3, PM10 is 13.2 ¶Ãg/m3, NO? is 29.7 ¶Ãg/m3, SO? is 15.8 ¶Ãg/m3, CO is 1.4 ppm, the proximity to industrial areas is 8.1 km, and the population density is 604 people/km2."
"The temperature is 17.4°„C, humidity is 56.5%, PM2.5 is 2.6 ¶Ãg/m3, PM10 is 6.9 ¶Ãg/m3, NO? is 21.0 ¶Ãg/m3, SO? is 3.5 ¶Ãg/m3, CO is 0.92 ppm, the proximity to industrial areas is 11.6 km, and the population density is 475 people/km2."
"The temperature is 18.1°„C, humidity is 70.1%, PM2.5 is 3.1 ¶Ãg/m3, PM10 is 8.1 ¶Ãg/m3, NO? is 19.7 ¶Ãg/m3, SO? is 5.8 ¶Ãg/m3, CO is 1.18 ppm, the proximity to industrial areas is 12.9 km, and the population density is 273 people/km2."
"The temperature is 25.6°„C, humidity is 78.1%, PM2.5 is 1.1 ¶Ãg/m3, PM10 is 5.2 ¶Ãg/m3, NO? is 21.3 ¶Ãg/m3, SO? is 6.1 ¶Ãg/m3, CO is 0.89 ppm, the proximity to industrial areas is 10.9 km, and the population density is 524 people/km2."
"The temperature is 22.4°„C, humidity is 69.3%, PM2.5 is 2.2 ¶Ãg/m3, PM10 is 8.4 ¶Ãg/m3, NO? is 19.6 ¶Ãg/m3, SO? is 3.0 ¶Ãg/m3, CO is 0.92 ppm, the proximity to industrial areas is 10.2 km, and the population density is 339 people/km2."
"The temperature is 25.3°„C, humidity is 47.4%, PM2.5 is 70.7 ¶Ãg/m3, PM10 is 84.8 ¶Ãg/m3, NO? is 22.4 ¶Ãg/m3, SO? is 8.2 ¶Ãg/m3, CO is 1.59 ppm, the proximity to industrial areas is 13.2 km, and the population density is 587 people/km2."
"The temperature is 42.1°„C, humidity is 89.8%, PM2.5 is 12.1 ¶Ãg/m3, PM10 is 35.3 ¶Ãg/m3, NO? is 41.4 ¶Ãg/m3, SO? is 30.4 ¶Ãg/m3, CO is 2.67 ppm, the proximity to industrial areas is 2.8 km, and the population density is 861 people/km2."
"The temperature is 27.5°„C, humidity is 45.3%, PM2.5 is 2.8 ¶Ãg/m3, PM10 is 10.1 ¶Ãg/m3, NO? is 13.7 ¶Ãg/m3, SO? is 4.1 ¶Ãg/m3, CO is 0.82 ppm, the proximity to industrial areas is 10.6 km, and the population density is 236 people/km2."
"The temperature is 32.6°„C, humidity is 65.1%, PM2.5 is 4.1 ¶Ãg/m3, PM10 is 19.3 ¶Ãg/m3, NO? is 28.0 ¶Ãg/m3, SO? is 14.5 ¶Ãg/m3, CO is 1.45 ppm, the proximity to industrial areas is 6.3 km, and the population density is 509 people/km2."
"The temperature is 46.1°„C, humidity is 100.3%, PM2.5 is 144.0 ¶Ãg/m3, PM10 is 169.8 ¶Ãg/m3, NO? is 42.5 ¶Ãg/m3, SO? is 16.1 ¶Ãg/m3, CO is 2.3 ppm, the proximity to industrial areas is 7.3 km, and the population density is 443 people/km2."
"The temperature is 33.5°„C, humidity is 81.2%, PM2.5 is 23.4 ¶Ãg/m3, PM10 is 56.5 ¶Ãg/m3, NO? is 34.2 ¶Ãg/m3, SO? is 27.2 ¶Ãg/m3, CO is 1.95 ppm, the proximity to industrial areas is 3.7 km, and the population density is 600 people/km2."
"The temperature is 48.1°„C, humidity is 94.1%, PM2.5 is 4.2 ¶Ãg/m3, PM10 is 19.0 ¶Ãg/m3, NO? is 23.7 ¶Ãg/m3, SO? is 6.0 ¶Ãg/m3, CO is 1.57 ppm, the proximity to industrial areas is 6.0 km, and the population density is 625 people/km2."
"The temperature is 31.6°„C, humidity is 76.7%, PM2.5 is 21.4 ¶Ãg/m3, PM10 is 26.9 ¶Ãg/m3, NO? is 30.1 ¶Ãg/m3, SO? is 17.4 ¶Ãg/m3, CO is 1.29 ppm, the proximity to industrial areas is 7.6 km, and the population density is 663 people/km2."
"The temperature is 29.0°„C, humidity is 83.5%, PM2.5 is 31.5 ¶Ãg/m3, PM10 is 44.4 ¶Ãg/m3, NO? is 27.0 ¶Ãg/m3, SO? is -2.8 ¶Ãg/m3, CO is 1.49 ppm, the proximity to industrial areas is 5.7 km, and the population density is 538 people/km2."
"The temperature is 24.9°„C, humidity is 82.2%, PM2.5 is 19.5 ¶Ãg/m3, PM10 is 27.9 ¶Ãg/m3, NO? is 25.6 ¶Ãg/m3, SO? is 2.0 ¶Ãg/m3, CO is 1.54 ppm, the proximity to industrial areas is 8.1 km, and the population density is 458 people/km2."
"The temperature is 27.7°„C, humidity is 99.4%, PM2.5 is 17.8 ¶Ãg/m3, PM10 is 29.9 ¶Ãg/m3, NO? is 37.5 ¶Ãg/m3, SO? is 9.9 ¶Ãg/m3, CO is 1.74 ppm, the proximity to industrial areas is 5.4 km, and the population density is 588 people/km2."
"The temperature is 20.8°„C, humidity is 48.5%, PM2.5 is 16.0 ¶Ãg/m3, PM10 is 19.7 ¶Ãg/m3, NO? is 11.2 ¶Ãg/m3, SO? is 2.5 ¶Ãg/m3, CO is 1.17 ppm, the proximity to industrial areas is 10.2 km, and the population density is 432 people/km2."
"The temperature is 28.2°„C, humidity is 71.7%, PM2.5 is 75.2 ¶Ãg/m3, PM10 is 90.0 ¶Ãg/m3, NO? is 30.8 ¶Ãg/m3, SO? is 5.0 ¶Ãg/m3, CO is 1.81 ppm, the proximity to industrial areas is 4.8 km, and the population density is 765 people/km2."
"The temperature is 32.0°„C, humidity is 69.7%, PM2.5 is 95.7 ¶Ãg/m3, PM10 is 110.4 ¶Ãg/m3, NO? is 36.1 ¶Ãg/m3, SO? is 20.5 ¶Ãg/m3, CO is 2.3 ppm, the proximity to industrial areas is 6.8 km, and the population density is 673 people/km2."
"The temperature is 21.5°„C, humidity is 60.0%, PM2.5 is 14.6 ¶Ãg/m3, PM10 is 20.6 ¶Ãg/m3, NO? is 20.9 ¶Ãg/m3, SO? is 1.6 ¶Ãg/m3, CO is 0.94 ppm, the proximity to industrial areas is 10.7 km, and the population density is 587 people/km2."
"The temperature is 29.6°„C, humidity is 63.1%, PM2.5 is 12.8 ¶Ãg/m3, PM10 is 15.9 ¶Ãg/m3, NO? is 22.0 ¶Ãg/m3, SO? is 3.8 ¶Ãg/m3, CO is 1.16 ppm, the proximity to industrial areas is 11.0 km, and the population density is 377 people/km2."
"The temperature is 17.5°„C, humidity is 73.8%, PM2.5 is 3.3 ¶Ãg/m3, PM10 is 8.8 ¶Ãg/m3, NO? is 16.2 ¶Ãg/m3, SO? is 8.4 ¶Ãg/m3, CO is 0.83 ppm, the proximity to industrial areas is 10.8 km, and the population density is 217 people/km2."
"The temperature is 33.2°„C, humidity is 49.8%, PM2.5 is 1.4 ¶Ãg/m3, PM10 is 23.3 ¶Ãg/m3, NO? is 23.0 ¶Ãg/m3, SO? is 25.8 ¶Ãg/m3, CO is 2.06 ppm, the proximity to industrial areas is 6.8 km, and the population density is 730 people/km2."
"The temperature is 58.6°„C, humidity is 66.0%, PM2.5 is 44.0 ¶Ãg/m3, PM10 is 54.0 ¶Ãg/m3, NO? is 44.3 ¶Ãg/m3, SO? is 22.7 ¶Ãg/m3, CO is 3.09 ppm, the proximity to industrial areas is 5.2 km, and the population density is 641 people/km2."
"The temperature is 28.1°„C, humidity is 51.8%, PM2.5 is 36.0 ¶Ãg/m3, PM10 is 40.3 ¶Ãg/m3, NO? is 26.4 ¶Ãg/m3, SO? is 5.4 ¶Ãg/m3, CO is 1.15 ppm, the proximity to industrial areas is 10.8 km, and the population density is 264 people/km2."
"The temperature is 32.0°„C, humidity is 74.9%, PM2.5 is 43.3 ¶Ãg/m3, PM10 is 45.5 ¶Ãg/m3, NO? is 28.8 ¶Ãg/m3, SO? is 9.5 ¶Ãg/m3, CO is 1.42 ppm, the proximity to industrial areas is 7.8 km, and the population density is 598 people/km2."
"The temperature is 25.0°„C, humidity is 63.9%, PM2.5 is 9.3 ¶Ãg/m3, PM10 is 10.8 ¶Ãg/m3, NO? is 15.8 ¶Ãg/m3, SO? is 4.6 ¶Ãg/m3, CO is 0.92 ppm, the proximity to industrial areas is 10.1 km, and the population density is 490 people/km2."
"The temperature is 25.7°„C, humidity is 69.3%, PM2.5 is 15.7 ¶Ãg/m3, PM10 is 25.0 ¶Ãg/m3, NO? is 27.7 ¶Ãg/m3, SO? is 10.6 ¶Ãg/m3, CO is 1.44 ppm, the proximity to industrial areas is 9.5 km, and the population density is 482 people/km2."
"The temperature is 35.1°„C, humidity is 69.2%, PM2.5 is 7.9 ¶Ãg/m3, PM10 is 30.3 ¶Ãg/m3, NO? is 35.3 ¶Ãg/m3, SO? is 27.6 ¶Ãg/m3, CO is 2.07 ppm, the proximity to industrial areas is 4.9 km, and the population density is 724 people/km2."
"The temperature is 26.7°„C, humidity is 63.2%, PM2.5 is 6.8 ¶Ãg/m3, PM10 is 9.3 ¶Ãg/m3, NO? is 13.4 ¶Ãg/m3, SO? is 4.9 ¶Ãg/m3, CO is 0.98 ppm, the proximity to industrial areas is 10.0 km, and the population density is 358 people/km2."
"The temperature is 20.4°„C, humidity is 44.9%, PM2.5 is 4.6 ¶Ãg/m3, PM10 is 9.2 ¶Ãg/m3, NO? is 20.5 ¶Ãg/m3, SO? is 5.7 ¶Ãg/m3, CO is 1.03 ppm, the proximity to industrial areas is 10.2 km, and the population density is 545 people/km2."
"The temperature is 24.6°„C, humidity is 84.2%, PM2.5 is 5.2 ¶Ãg/m3, PM10 is 19.2 ¶Ãg/m3, NO? is 22.5 ¶Ãg/m3, SO? is 9.0 ¶Ãg/m3, CO is 1.48 ppm, the proximity to industrial areas is 7.3 km, and the population density is 623 people/km2."
"The temperature is 25.9°„C, humidity is 62.8%, PM2.5 is 25.8 ¶Ãg/m3, PM10 is 35.6 ¶Ãg/m3, NO? is 31.2 ¶Ãg/m3, SO? is 19.0 ¶Ãg/m3, CO is 1.48 ppm, the proximity to industrial areas is 5.3 km, and the population density is 411 people/km2."
"The temperature is 22.1°„C, humidity is 54.0%, PM2.5 is 10.6 ¶Ãg/m3, PM10 is 15.4 ¶Ãg/m3, NO? is 13.9 ¶Ãg/m3, SO? is 8.9 ¶Ãg/m3, CO is 1.0 ppm, the proximity to industrial areas is 10.5 km, and the population density is 265 people/km2."
"The temperature is 34.1°„C, humidity is 97.9%, PM2.5 is 54.0 ¶Ãg/m3, PM10 is 76.8 ¶Ãg/m3, NO? is 31.6 ¶Ãg/m3, SO? is 16.4 ¶Ãg/m3, CO is 2.15 ppm, the proximity to industrial areas is 6.6 km, and the population density is 513 people/km2."
"The temperature is 24.9°„C, humidity is 63.5%, PM2.5 is 6.1 ¶Ãg/m3, PM10 is 13.9 ¶Ãg/m3, NO? is 17.2 ¶Ãg/m3, SO? is 4.3 ¶Ãg/m3, CO is 1.18 ppm, the proximity to industrial areas is 16.4 km, and the population density is 390 people/km2."
"The temperature is 28.0°„C, humidity is 55.2%, PM2.5 is 12.4 ¶Ãg/m3, PM10 is 21.2 ¶Ãg/m3, NO? is 27.7 ¶Ãg/m3, SO? is 3.7 ¶Ãg/m3, CO is 0.99 ppm, the proximity to industrial areas is 10.6 km, and the population density is 467 people/km2."
"The temperature is 26.7°„C, humidity is 53.9%, PM2.5 is 2.9 ¶Ãg/m3, PM10 is 6.4 ¶Ãg/m3, NO? is 11.1 ¶Ãg/m3, SO? is 6.6 ¶Ãg/m3, CO is 0.96 ppm, the proximity to industrial areas is 11.8 km, and the population density is 533 people/km2."
"The temperature is 30.4°„C, humidity is 101.1%, PM2.5 is 28.6 ¶Ãg/m3, PM10 is 42.6 ¶Ãg/m3, NO? is 39.9 ¶Ãg/m3, SO? is 4.0 ¶Ãg/m3, CO is 2.2 ppm, the proximity to industrial areas is 6.8 km, and the population density is 639 people/km2."
"The temperature is 41.4°„C, humidity is 65.4%, PM2.5 is 34.3 ¶Ãg/m3, PM10 is 52.8 ¶Ãg/m3, NO? is 42.7 ¶Ãg/m3, SO? is 9.4 ¶Ãg/m3, CO is 1.87 ppm, the proximity to industrial areas is 2.5 km, and the population density is 721 people/km2."
"The temperature is 25.5°„C, humidity is 73.4%, PM2.5 is 13.8 ¶Ãg/m3, PM10 is 21.4 ¶Ãg/m3, NO? is 25.7 ¶Ãg/m3, SO? is 3.8 ¶Ãg/m3, CO is 0.95 ppm, the proximity to industrial areas is 11.0 km, and the population density is 194 people/km2."
"The temperature is 28.2°„C, humidity is 49.6%, PM2.5 is 17.0 ¶Ãg/m3, PM10 is 21.7 ¶Ãg/m3, NO? is 19.7 ¶Ãg/m3, SO? is 11.3 ¶Ãg/m3, CO is 0.99 ppm, the proximity to industrial areas is 11.1 km, and the population density is 214 people/km2."
"The temperature is 36.6°„C, humidity is 75.5%, PM2.5 is 32.2 ¶Ãg/m3, PM10 is 41.3 ¶Ãg/m3, NO? is 32.1 ¶Ãg/m3, SO? is 9.4 ¶Ãg/m3, CO is 1.95 ppm, the proximity to industrial areas is 4.4 km, and the population density is 543 people/km2."
"The temperature is 18.8°„C, humidity is 77.7%, PM2.5 is 11.0 ¶Ãg/m3, PM10 is 15.8 ¶Ãg/m3, NO? is 20.0 ¶Ãg/m3, SO? is 5.6 ¶Ãg/m3, CO is 1.09 ppm, the proximity to industrial areas is 11.2 km, and the population density is 409 people/km2."
"The temperature is 26.3°„C, humidity is 77.5%, PM2.5 is 23.1 ¶Ãg/m3, PM10 is 29.5 ¶Ãg/m3, NO? is 15.1 ¶Ãg/m3, SO? is 3.7 ¶Ãg/m3, CO is 0.92 ppm, the proximity to industrial areas is 10.4 km, and the population density is 399 people/km2."
"The temperature is 34.9°„C, humidity is 96.9%, PM2.5 is 11.4 ¶Ãg/m3, PM10 is 30.2 ¶Ãg/m3, NO? is 36.5 ¶Ãg/m3, SO? is 20.3 ¶Ãg/m3, CO is 1.89 ppm, the proximity to industrial areas is 6.8 km, and the population density is 680 people/km2."
"The temperature is 23.0°„C, humidity is 50.7%, PM2.5 is 1.1 ¶Ãg/m3, PM10 is 5.0 ¶Ãg/m3, NO? is 24.8 ¶Ãg/m3, SO? is 2.1 ¶Ãg/m3, CO is 1.12 ppm, the proximity to industrial areas is 12.4 km, and the population density is 593 people/km2."
